NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:07:10",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
152421,-93.926
153526,-97.164
154631,-97.442
155737,-90.811
156842,-93.200
157947,-83.980
159053,-80.229
160158,-88.371
161263,-87.138
162368,-86.389
163474,-80.791
164579,-78.338
165684,-86.911
166789,-80.285
167895,-82.466
169000,-78.216
170105,-77.912
171210,-78.276
172316,-75.635
173421,-74.782
174526,-75.727
175631,-73.116
176737,-78.158
177842,-74.744
178947,-84.858
180053,-84.012
181158,-77.148
182263,-71.301
183368,-73.783
184474,-69.688
185579,-75.220
186684,-82.691
187789,-79.750
188895,-78.515
190000,-84.559
191105,-84.341
192210,-89.160
193316,-85.967
194421,-98.828
195526,-87.854
196631,-87.770
197737,-91.730
198842,-90.675
199947,-87.182
201053,-105.360
202158,-114.600
203263,-91.220
204368,-88.869
205474,-93.945
206579,-84.680
207684,-89.356
208789,-88.436
209895,-90.159
211000,-98.680
212105,-90.736
213210,-82.748
214316,-84.697
215421,-87.689
216526,-87.402
217631,-84.251
218737,-83.027
219842,-79.513
220947,-79.367
222052,-81.900
223158,-86.518
224263,-82.043
225368,-87.155
226474,-84.494
227579,-80.556
228684,-79.427
229789,-75.963
230895,-77.431
232000,-80.122
233105,-76.931
234210,-82.060
235316,-81.093
236421,-80.533
237526,-95.999
238631,-78.939
239737,-84.430
240842,-85.290
241947,-80.556
243052,-78.691
244158,-76.132
245263,-80.524
246368,-74.413
247474,-72.778
248579,-77.135
249684,-80.706
250789,-75.327
251895,-69.461
253000,-67.347
254105,-77.916
255210,-68.622
256316,-65.609
257421,-63.673
258526,-64.081
259631,-56.905
260737,-56.976
261842,-60.886
262947,-60.613
264052,-57.363
265158,-52.108
266263,-51.277
267368,-48.936
268474,-56.428
269579,-65.239
270684,-59.676
271789,-66.577
272895,-81.947
274000,-66.269
275105,-70.501
276210,-74.973
277316,-70.471
278421,-78.972
279526,-74.138
280631,-73.546
281737,-77.194
282842,-75.827
283947,-76.462
285052,-86.757
286158,-94.391
287263,-76.406
288368,-77.863
289474,-83.658
290579,-94.348
291684,-78.400
292789,-79.597
293895,-92.733
295000,-84.478
296105,-78.604
297210,-80.125
298316,-90.094
299421,-95.977
300526,-80.552
301631,-88.156
302737,-91.896
303842,-82.176
304947,-79.528
306052,-85.550
307158,-101.824
308263,-87.968
309368,-88.588
310473,-100.159
311579,-85.772
312684,-80.006
313789,-85.692
314895,-89.904
316000,-89.723
317105,-79.852
318210,-92.545
319316,-84.524
320421,-80.056
321526,-81.251
322631,-89.509
323737,-102.333
324842,-86.598
325947,-83.355
327052,-92.658
328158,-86.977
329263,-82.065
330368,-82.734
331473,-91.710
332579,-80.281
333684,-88.364
334789,-80.009
335895,-86.370
337000,-79.366
338105,-83.199
339210,-87.905
340316,-72.103
341421,-75.004
342526,-69.072
343631,-75.953
344737,-101.719
345842,-71.771
346947,-75.733
348052,-86.830
349158,-89.841
350263,-78.995
351368,-75.866
352473,-84.477
353579,-77.630
354684,-89.679
355789,-88.317
356895,-72.814
358000,-79.941
359105,-73.635
360210,-80.955
361316,-77.534
362421,-73.233
363526,-89.271
364631,-81.014
365737,-75.759
366842,-76.189
367947,-81.333
369052,-77.031
370158,-82.692
371263,-82.339
372368,-73.251
373473,-73.358
374579,-80.133
375684,-74.134
376789,-70.824
377895,-76.815
379000,-77.479
380105,-66.382
381210,-57.368
382316,-64.852
383421,-98.221
384526,-73.893
385631,-72.615
386737,-77.401
387842,-80.087
388947,-75.403
390052,-80.659
391158,-71.771
392263,-90.188
393368,-77.272
394473,-77.716
395579,-85.502
396684,-75.530
397789,-78.882
398894,-72.551
400000,-73.461
401105,-70.122
402210,-69.117
403316,-69.505
404421,-69.754
405526,-67.621
406631,-67.509
407737,-67.238
408842,-71.808
409947,-67.685
411052,-72.911
412158,-70.245
413263,-67.943
414368,-61.719
415473,-66.533
416579,-59.860
417684,-58.273
418789,-57.850
419894,-23.709
421000,-7.938
422105,-7.652
