NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:18:34",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
225368,-90.005
226474,-90.716
227579,-80.879
228684,-74.384
229789,-75.487
230895,-82.668
232000,-82.246
233105,-77.982
234210,-84.040
235316,-81.323
236421,-88.803
237526,-92.057
238631,-79.086
239737,-85.130
240842,-83.186
241947,-78.417
243052,-78.451
244158,-77.247
245263,-77.442
246368,-74.211
247474,-74.928
248579,-80.683
249684,-78.511
250789,-78.524
251895,-68.934
253000,-68.126
254105,-77.189
255210,-67.086
256316,-68.093
257421,-66.208
258526,-63.285
259631,-56.278
260737,-57.844
261842,-58.682
262947,-57.425
264052,-56.696
265158,-52.707
266263,-52.163
267368,-49.233
268474,-54.177
269579,-65.148
270684,-58.895
271789,-68.385
272895,-73.990
274000,-66.048
275105,-69.469
276210,-74.376
277316,-69.274
278421,-74.598
279526,-75.581
280631,-72.660
281737,-75.417
282842,-78.751
283947,-75.828
285052,-85.253
286158,-94.391
287263,-75.185
288368,-77.952
289474,-90.736
290579,-82.087
291684,-77.189
292789,-81.486
293895,-96.813
295000,-85.596
296105,-78.691
297210,-77.720
298316,-89.565
299421,-92.817
300526,-79.288
301631,-89.273
302737,-97.402
303842,-81.065
304947,-80.450
306052,-86.535
307158,-87.115
308263,-85.418
309368,-88.814
310473,-100.716
311579,-86.329
312684,-81.106
313789,-86.614
314895,-88.219
316000,-84.483
317105,-78.264
318210,-89.797
319316,-87.402
320421,-81.260
321526,-82.208
322631,-87.752
323737,-102.612
324842,-97.800
325947,-83.851
327052,-96.376
328158,-94.984
329263,-79.509
330368,-85.529
331473,-91.211
332579,-84.987
333684,-88.031
334789,-79.959
335895,-90.412
337000,-78.703
338105,-83.265
339210,-85.364
340316,-71.996
341421,-67.192
342526,-62.971
343631,-70.611
344737,-96.225
345842,-71.652
346947,-75.271
348052,-85.499
349158,-83.659
350263,-82.865
351368,-78.895
352473,-83.761
353579,-81.513
354684,-87.232
355789,-86.330
356895,-79.118
358000,-84.377
359105,-75.577
360210,-81.517
361316,-76.401
362421,-77.135
363526,-81.247
364631,-77.170
365737,-78.056
366842,-78.322
367947,-91.603
369052,-81.439
370158,-83.318
371263,-84.244
372368,-74.039
373473,-74.906
374579,-86.516
375684,-75.399
376789,-71.694
377895,-77.571
379000,-77.554
380105,-66.483
381210,-57.492
382316,-63.623
383421,-87.313
384526,-72.597
385631,-71.365
386737,-79.302
387842,-77.258
388947,-75.592
390052,-79.178
391158,-71.598
392263,-88.710
393368,-78.205
394473,-78.748
395579,-88.304
396684,-75.995
397789,-75.549
398894,-72.882
400000,-73.253
401105,-70.296
402210,-69.017
403316,-70.047
404421,-69.279
405526,-67.668
406631,-67.474
407737,-67.437
408842,-72.603
409947,-68.628
411052,-72.101
412158,-70.897
413263,-67.209
414368,-61.600
415473,-66.322
416579,-59.766
417684,-58.364
418789,-57.819
419894,-23.764
421000,-7.948
422105,-7.624
