NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:49",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
377895, 7.3851E-6,-1.0931E+2
379000, 4.5329E-6,-8.93E+1
380105, 6.3647E-6,-5.0132E+1
381210, 4.6778E-6,-1.9679E+1
382316, 8.652E-6, 2.3748E+1
383421, 6.9841E-6, 7.7364E+1
384526, 6.325E-6, 1.3428E+2
385631, 5.3203E-6, 1.3672E+2
386737, 6.8587E-6,-1.4895E+2
387842, 4.8646E-6,-1.3578E+2
388947, 5.9559E-6,-5.4998E+1
390052, 4.0764E-6,-2.4468E+1
391158, 5.0666E-6, 5.3078E+0
392263, 3.9896E-6, 3.0811E+1
393368, 7.4938E-6, 9.9993E+1
394473, 5.5118E-6, 1.4133E+2
395579, 4.3444E-6, 1.6331E+2
396684, 4.1605E-6,-1.6531E+2
397789, 8.2646E-6,-1.4029E+2
398894, 3.0611E-6,-7.076E+1
400000, 6.5892E-6,-6.0116E+1
401105, 2.6395E-6,-2.0241E+1
402210, 4.7681E-6,-2.0299E+1
403316, 7.0902E-6, 6.2943E+1
404421, 4.0385E-6, 6.2614E+1
405526, 4.192E-6, 1.509E+2
406631, 3.5875E-6, 1.354E+2
407737, 8.6806E-6,-1.431E+2
408842, 7.7312E-6,-1.0641E+2
409947, 7.027E-6,-3.4426E+1
411052, 6.9294E-6,-2.3174E+1
412158, 1.4299E-5, 2.2497E+1
413263, 1.3552E-5, 5.7629E+1
414368, 2.0951E-5, 1.234E+2
415473, 1.0834E-5, 1.4028E+2
416579, 2.18E-5,-1.7481E+2
417684, 1.6914E-5,-1.5014E+2
418789, 3.8663E-5,-7.4794E+1
419894, 9.5037E-5, 3.524E+1
421000, 1.782E-3, 7.7769E+1
422105, 1.2053E-2,-5.8199E+1

