NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:46",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
96053,-74.953
97158,-81.325
98263,-73.468
99368,-72.357
100474,-70.167
101579,-71.830
102684,-84.882
103789,-79.648
104895,-77.100
106000,-81.731
107105,-78.570
108210,-72.781
109316,-73.344
110421,-71.623
111526,-73.073
112632,-76.568
113737,-80.460
114842,-75.671
115947,-77.165
117053,-75.620
118158,-79.608
119263,-81.960
120368,-77.269
121474,-78.370
122579,-80.695
123684,-81.920
124789,-83.802
125895,-85.414
127000,-77.615
128105,-78.815
129210,-83.321
130316,-88.474
131421,-83.154
132526,-80.779
133631,-80.855
134737,-81.744
135842,-83.028
136947,-80.559
138053,-95.360
139158,-89.340
140263,-101.381
141368,-84.830
142474,-81.514
143579,-77.882
144684,-80.912
145789,-77.197
146895,-84.560
148000,-87.124
149105,-85.163
150210,-83.844
151316,-81.676
152421,-81.871
153526,-84.827
154631,-86.666
155737,-83.228
156842,-82.241
157947,-80.671
159053,-82.836
160158,-79.842
161263,-82.466
162368,-87.083
163474,-80.443
164579,-79.607
165684,-97.434
166789,-87.702
167895,-82.685
169000,-87.557
170105,-79.609
171210,-78.917
172316,-74.363
173421,-75.487
174526,-71.365
175631,-81.308
176737,-76.478
177842,-83.553
178947,-76.631
180053,-75.729
181158,-74.949
182263,-73.824
183368,-71.074
184474,-71.792
185579,-71.419
186684,-77.425
187789,-82.357
188895,-80.815
190000,-84.813
191105,-81.999
192210,-104.154
193316,-77.239
194421,-95.021
195526,-85.493
196631,-83.461
197737,-93.705
198842,-92.500
199947,-84.118
201053,-91.314
202158,-88.309
203263,-91.506
204368,-96.813
205474,-84.796
206579,-83.508
207684,-88.029
208789,-86.489
209895,-81.513
211000,-86.242
212105,-102.350
213210,-85.515
214316,-88.371
215421,-86.190
216526,-81.007
217631,-96.814
218737,-80.178
219842,-85.959
220947,-82.721
222052,-78.543
223158,-88.945
224263,-79.559
225368,-83.361
226474,-89.519
227579,-79.446
228684,-102.175
229789,-76.051
230895,-76.525
232000,-90.473
233105,-74.118
234210,-75.355
235316,-81.081
236421,-86.703
237526,-79.465
238631,-82.387
239737,-80.644
240842,-82.288
241947,-77.911
243052,-74.859
244158,-74.885
245263,-83.836
246368,-72.985
247474,-71.252
248579,-73.928
249684,-74.474
250789,-70.894
251895,-67.630
253000,-73.015
254105,-81.002
255210,-76.871
256316,-64.684
257421,-60.811
258526,-71.706
259631,-61.558
260737,-64.382
261842,-58.288
262947,-57.163
264052,-53.775
265158,-51.676
266263,-48.234
267368,-57.028
268474,-51.312
269579,-52.234
270684,-59.091
271789,-62.591
272895,-64.597
274000,-67.075
275105,-66.490
276210,-74.844
277316,-79.599
278421,-75.854
279526,-77.689
280631,-78.184
281737,-77.854
282842,-75.283
283947,-76.587
285052,-82.893
286158,-82.383
287263,-80.089
288368,-77.463
289474,-77.149
290579,-85.307
291684,-75.144
292789,-92.011
293895,-79.253
295000,-85.273
296105,-80.153
297210,-85.902
298316,-85.207
299421,-93.561
300526,-81.363
301631,-105.097
302737,-83.844
303842,-84.907
304947,-83.626
306052,-89.885
307158,-90.858
308263,-80.512
309368,-86.886
310473,-83.995
311579,-87.840
312684,-84.230
313789,-86.522
314895,-86.431
316000,-87.000
317105,-80.187
318210,-85.515
319316,-90.500
320421,-81.601
321526,-83.264
322631,-86.871
323737,-92.658
324842,-86.345
325947,-99.044
327052,-87.972
328158,-92.033
329263,-84.536
330368,-80.878
331473,-88.674
332579,-83.922
333684,-84.392
334789,-76.966
335895,-90.500
337000,-79.730
338105,-80.884
339210,-95.066
340316,-73.236
341421,-67.530
342526,-62.620
343631,-70.215
344737,-88.472
345842,-73.884
346947,-80.833
348052,-84.777
349158,-78.111
350263,-78.223
351368,-73.030
352473,-78.210
353579,-81.104
354684,-89.678
355789,-87.507
356895,-76.395
358000,-79.426
359105,-78.526
360210,-80.004
361316,-74.895
362421,-77.505
363526,-81.816
364631,-76.032
365737,-79.761
366842,-77.876
367947,-90.359
369052,-79.136
370158,-83.446
371263,-85.200
372368,-72.138
373473,-74.065
374579,-83.321
375684,-76.871
376789,-71.799
377895,-78.015
379000,-78.118
380105,-66.840
381210,-57.417
382316,-63.559
383421,-85.985
384526,-72.350
385631,-72.856
386737,-78.463
387842,-76.171
388947,-75.306
390052,-79.808
391158,-73.014
392263,-94.837
393368,-79.034
394473,-78.173
395579,-86.703
396684,-75.716
397789,-79.232
398894,-71.892
400000,-74.394
401105,-70.074
402210,-69.147
403316,-69.516
404421,-68.788
405526,-67.759
406631,-67.200
407737,-67.316
408842,-72.850
409947,-68.624
411052,-73.482
412158,-70.691
413263,-66.549
414368,-61.894
415473,-66.395
416579,-59.937
417684,-58.271
418789,-57.802
419894,-23.774
421000,-7.948
422105,-7.618
